@x1,x2,x3,x4,x5,x6,x7,x8,y,zb,wt
8.4798,0.47317,1.2551,1.4593,8.4639,5.7107,3.5689,0.54519,0,1,0
6.0995,0.84225,1.524,1.2825,7.7801,6.3727,1.092,0.54791,0,1,0
5.3577,0.83116,1.3935,1.4295,7.8634,5.3718,0.62013,0.50249,0,1,0
4.2779,1.741,1.4799,1.3276,8.6169,5.5611,0.7725,0.80807,0,1,0
8.3135,1.6666,1.4952,1.1194,8.0832,5.7353,0.92748,0.8253,0,1,0
6.6681,1.3647,1.1031,0.96211,6.7172,4.8854,0.87282,0.64916,0,1,0
7.2993,1.0092,1.4328,1.5162,7.8388,5.6252,1.9452,0.83582,0,1,0
9.6647,1.0857,1.6904,1.3556,9.6284,6.4157,2.0258,0.85081,0,1,0
11.3,1.9409,1.8843,3.2638,11.456,6.056,1.0675,0.83068,0,1,0
7.7165,1.4239,3.7662,1.6638,12.089,6.0974,2.3334,0.90425,0,1,0
8.0709,3.5455,1.2957,1.2621,7.7559,5.3261,1.1988,0.45162,0,1,0
6.9058,0.96596,1.6055,1.3208,7.9407,4.9415,0.76959,0.73535,0,1,0
5.6964,2.1676,1.1009,1.211,6.3638,5.1003,1.2087,0.68216,0,1,0
6.1038,1.3245,1.2704,1.4474,7.449,5.8867,1.427,0.81144,0,1,0
6.9121,1.3985,1.4408,1.5118,8.0144,5.017,0.94979,0.63537,0,1,0
9.0362,0.95014,1.6572,1.0856,8.4483,5.8181,1.4815,1.0499,0,1,0
6.3684,2.1212,2.395,1.5353,9.1504,6.0892,1.2288,0.90086,0,1,0
12.722,4.4507,2.8068,1.6389,11.299,7.3741,1.0263,0.76363,0,1,0
6.8894,0.54125,1.3605,2.5058,8.834,4.5109,1.2057,0.66987,0,1,0
5.361,0.72101,1.2487,1.6727,8.7304,4.4399,0.79786,1.0241,0,1,0
7.8231,1.1518,2.2497,1.6783,9.2186,4.7774,1.2759,0.77828,0,1,0
14.73,1.5384,2.299,1.6511,12.945,7.5723,0.74971,1.1747,0,1,0
9.265,1.5848,2.4775,1.6754,9.5432,7.1748,3.5417,1.2321,0,1,0
6.9793,1.0334,2.3758,2.0798,10.375,8.2184,1.493,1.3176,0,1,0
11.97,1.4323,1.5652,1.6703,10.025,6.3398,2.2406,0.62016,0,1,0
15.103,1.973,1.5211,1.2999,9.4313,6.4144,0.63684,0.58434,0,1,0
10.061,4.2424,2.1813,1.7415,9.8513,8.2902,1.797,0.80856,0,1,0
10.045,3.7343,1.6532,1.4419,9.3279,7.8585,1.285,1.0326,0,1,0
14.301,2.1968,5.4433,2.1835,15.55,8.0846,0.86115,0.87059,0,1,0
16.667,3.4068,3.7989,1.2401,13.838,7.8139,1.3089,0.9322,0,1,0
27.526,3.7079,2.1146,2.0519,13.884,7.8413,1.1604,0.79288,0,1,0
8.819,0.76951,2.0445,1.3553,9.1623,4.8374,1.3229,0.56732,0,1,0
12.943,3.9563,1.9633,1.5552,10.794,6.4627,1.5276,0.72306,0,1,0
8.4109,1.1355,1.5329,1.5939,10.462,7.6448,1.8796,0.90197,0,1,0
8.0057,1.2715,1.9449,1.5577,9.5487,5.8415,1.7367,0.86138,0,1,0
13.29,1.1532,1.8709,3.271,11.371,7.409,2.2593,0.97939,0,1,0
8.3609,1.3937,1.4075,2.439,8.5572,5.4037,1.3632,0.80474,0,1,0
12.068,1.6678,3.9518,2.3288,19.664,11.286,2.8479,1.6738,0,1,0
8.8862,0.60267,2.7674,1.6393,11.032,5.18,2.7038,0.73919,0,1,0
16.761,2.2647,3.3272,2.0123,14.368,7.2021,2.1538,0.8597,0,1,0
14.983,1.9544,2.1735,1.6356,11.888,8.2996,2.4336,0.87109,0,1,0
14.284,2.1375,1.848,1.0466,10.072,7.201,2.2875,0.607,0,1,0
20.215,3.4127,2.6717,1.526,11.5,10.109,1.808,0.79701,0,1,0
15.838,2.8147,2.4999,1.6052,11.762,9.2552,1.9836,0.81341,0,1,0
7.1819,2.0167,3.1533,1.8883,10.87,7.2182,0.89477,0.65609,0,1,0
11.764,2.3119,3.4876,2.0285,13.48,7.1463,1.6444,0.87931,0,1,0
18.004,3.4951,2.7637,1.6391,11.192,6.6174,2.0436,0.57313,0,1,0
19.579,1.2397,2.6289,2.4469,13.385,6.4805,1.3061,0.82307,0,1,0
6.2774,1.9212,1.4112,2.0643,9.3415,6.9113,1.8807,0.75869,0,1,0
7.9609,1.5176,1.5663,1.5486,9.4318,4.9158,2.6548,0.54098,0,1,0
9.1531,3.2141,3.0589,3.4503,13.538,9.555,3.383,0.8062,0,1,0
13.561,1.5872,2.8893,2.0416,15.197,7.6738,1.5883,1.3331,0,1,0
10.731,3.1606,2.9119,2.0565,12.452,8.3061,2.844,0.98439,0,1,0
5.0908,1.5827,2.0919,1.3064,8.4477,6.0817,0.77988,0.8619,0,1,0
17.807,3.3288,3.5942,1.8209,15.803,10.833,1.4033,1.0786,0,1,0
18.511,2.4291,2.676,1.5364,13.812,7.5171,2.248,0.70006,0,1,0
17.011,3.0046,2.5917,1.8978,13.023,10.726,2.5474,0.94501,0,1,0
6.5387,1.8722,2.807,0.99608,9.6336,6.1468,1.4084,0.58542,0,1,0
14.531,2.9918,2.9076,1.6997,13.278,7.549,2.3014,0.76093,0,1,0
12.38,3.1842,2.146,2.0329,12.832,7.9885,2.0949,0.635,0,1,0
5.7617,1.1883,2.9089,1.9199,11.428,7.9786,1.7722,0.84786,0,1,0
9.791,3.948,3.2904,2.6966,11.673,8.354,1.1832,0.97055,0,1,0
21.111,2.9368,2.1873,1.4219,10.426,8.0538,1.7638,0.75745,0,1,0
12.483,1.4313,2.8811,1.6128,11.199,5.389,0.96598,0.74066,0,1,0
10.136,1.6646,2.4886,1.9178,10.579,5.7669,1.0991,0.55769,0,1,0
17.83,2.6539,2.5323,1.5034,10.318,8.0115,1.4309,0.73525,0,1,0
21.819,2.6259,3.084,2.2867,14.419,7.2822,2.0393,0.79215,0,1,0
23.011,2.0523,1.9451,1.3922,11.724,7.1451,2.4035,0.90606,0,1,0
14.036,2.8916,2.1347,1.3517,9.455,5.7296,1.2554,0.59736,0,1,0
6.5482,1.2418,2.8777,2.115,10.235,6.9035,1.3275,0.91187,0,1,0
7.7263,1.7154,3.1679,2.1685,12.069,8.9435,0.52937,1.1224,0,1,0
20.437,2.6879,2.8486,1.1171,11.833,8.3547,0.6851,0.60264,0,1,0
12.704,2.0685,2.8579,1.1389,10.73,7.0418,1.5071,0.63871,0,1,0
13.171,2.1056,2.636,2.6965,12.243,8.0476,1.3823,0.99391,0,1,0
17.594,4.9352,2.7487,1.9663,13.7,7.2039,1.2162,0.86541,0,1,0
11.952,0.74676,1.9061,1.9988,11.073,4.6945,2.2317,0.76421,0,1,0
10.763,3.2757,2.7726,1.6364,11.717,8.6969,1.621,0.80557,0,1,0
13.287,2.2124,2.5541,1.7132,11.56,7.0388,1.2094,0.81394,0,1,0
6.8983,1.7212,2.0441,1.655,12.048,6.3486,1.9228,0.57599,0,1,0
18.23,2.8899,2.3425,1.4244,12.029,7.8289,1.5548,0.72909,0,1,0
10.882,1.5753,3.4007,3.8587,18.629,8.122,2.772,0.93737,0,1,0
9.4979,4.4595,2.2408,2.7762,10.7,8.6972,1.7432,0.74499,0,1,0
18.718,2.5718,3.8313,2.36,15.397,10.45,1.6461,0.84814,0,1,0
12.504,1.4698,2.324,1.6327,10.247,6.995,1.479,0.62934,0,1,0
9.8413,2.221,1.5807,1.7948,10.011,8.5005,1.596,1.0248,0,1,0
8.2576,1.1397,2.632,2.0744,11.391,7.98,1.007,1.176,0,1,0
6.5615,1.7665,1.9169,2.021,8.9132,5.8431,1.0488,0.77586,0,1,0
9.9005,1.3353,1.9307,1.9269,10.227,7.0061,1.3183,1.4443,0,1,0
8.6767,1.1916,1.9405,2.6803,11.086,6.6976,1.4825,0.78832,0,1,0
27.393,10.606,4.6687,2.0563,17.022,12.246,3.5618,0.84236,0,1,0
13.074,2.0888,4.7094,1.6214,13.827,7.8484,2.2501,0.93878,0,1,0
24.904,3.3338,1.9373,1.609,12.528,10.923,1.9866,0.60438,0,1,0
10.839,1.4335,1.5695,1.6516,9.8215,8.0087,3.4062,0.89543,0,1,0
8.8724,2.282,1.9214,1.8733,9.718,6.4051,2.4285,0.69196,0,1,0
16.138,2.0965,3.5917,2.0042,14.258,12.015,2.1519,1.1616,0,1,0
13.604,2.0845,3.1536,2.5181,16.954,7.7973,1.4906,0.96438,0,1,0
18.373,1.8965,3.1151,1.8024,14.423,8.3886,1.5821,1.0395,0,1,0
7.9927,2.3931,2.5564,2.75,11.942,6.9484,1.2032,1.1542,0,1,0
10.086,1.9333,1.9298,1.7667,9.6705,6.0575,2.0385,0.87322,0,1,0
9.1934,1.5391,1.9237,1.2416,9.0472,6.1159,1.7081,0.61565,0,1,0
17.425,1.4547,1.5935,2.3348,10.917,7.5583,2.4571,0.87676,0,1,0
5.8554,2.3597,1.4169,2.9186,9.37,7.0843,1.3433,1.1458,0,1,0
9.6418,1.1327,2.1707,2.1607,10.511,6.796,2.7601,0.89938,0,1,0
6.4803,1.1866,1.4167,2.0154,10.104,5.3092,1.2057,0.73427,0,1,0
8.4229,2.1212,2.3505,1.5273,10.36,6.1801,2.2535,0.76752,0,1,0
9.4668,1.8733,3.6687,2.685,12.574,8.4785,1.633,1.0855,0,1,0
4.9818,0.36174,1.4942,1.5719,7.6866,5.1905,0.89996,0.90434,0,1,1
6.7928,1.3334,2.3953,1.2392,8.5516,5.7585,1.0163,0.54552,0,1,1
8.988,1.028,1.7695,2.0204,9.0574,6.3773,2.0157,1.1524,0,1,1
6.8115,1.4489,1.4516,1.8161,9.0452,6.3845,1.7731,1.0422,0,1,1
13.3,2.7632,2.9456,1.5653,11.661,7.6963,1.9635,0.86949,0,1,1
16.409,2.0282,1.723,1.749,10.294,5.6852,1.9842,0.80689,0,1,1
11.571,2.2271,3.1982,2.1548,11.876,7.7321,1.2875,1.1817,0,1,1
21.167,4.1106,2.7409,1.5288,12.8,8.0225,2.4168,0.64224,0,1,1
6.4183,0.65405,1.9488,1.9082,9.9677,5.0027,1.3986,0.74815,0,1,1
25.407,3.377,2.7637,1.0288,12.012,7.6657,2.3544,0.79886,0,1,1
0.48015,8.379,1.1988,8.0966,1.3541,5.7917,3.5245,0.55155,0,2,0
0.8538,6.0341,1.4874,7.4973,1.2049,6.468,1.0921,0.55506,0,2,0
0.363,5.0013,1.491,7.528,1.5027,5.2523,0.90871,0.91166,0,2,0
0.83849,5.3411,1.366,7.5517,1.2962,5.4236,0.63258,0.50642,0,2,0
1.7718,4.4036,1.3959,8.3392,1.2537,5.6531,0.82845,0.81854,0,2,0
1.3733,6.7569,1.0547,6.5289,0.89508,4.9471,0.90013,0.65581,0,2,0
1.0221,7.1245,1.4009,7.5962,1.4282,5.6921,1.8551,0.84569,0,2,0
1.9653,11.227,1.8547,10.94,2.9651,6.114,1.1073,0.83782,0,2,0
1.4355,7.6585,3.7062,11.798,1.5993,6.1703,2.3098,0.91414,0,2,0
1.3509,6.6848,2.3702,8.3516,1.1604,5.8317,1.0016,0.55428,0,2,0
3.6037,8.1805,1.2587,7.4618,1.1714,5.408,1.1785,0.45773,0,2,0
0.97644,6.8666,1.5408,7.6058,1.2308,5.0133,0.72728,0.74071,0,2,0
2.1822,5.7353,1.0652,6.1346,1.1485,5.1651,1.1936,0.69022,0,2,0
1.4155,7.1383,1.388,7.7166,1.3857,5.093,0.98878,0.64475,0,2,0
2.1486,6.4926,2.3608,8.8969,1.4752,6.1631,1.2727,0.91156,0,2,0
